Broj,Kupac naziv,Adresa,Mjesto,OIB kupca,"Nadnevak
(datum izdavanja raèuna)",Datum predviðene isporuke,Vrijeme izrade,Dospijeæe plaæanja,Usluga ili proizvod,JM,Kolièina,Cijena,Rabat,Iznos,Usluga ili proizvod 2,JM 2,Kolièina 2,Cijena 2,Rabat 2,Iznos 2,Usluga ili proizvod 3,JM 3,Kolièina 3,Cijena 3,Rabat 3,Iznos 3,Usluga ili proizvod  4,JM 4,Kolièina 4,Cijena 4,Rabat 4,Iznos 4,Usluga ili proizvod 5,JM 5,Kolièina 5,Cijena 5,Rabat 5,Iznos 5,UKUPNO Iznos (1+5),Napomena,Napomena predujam,"Iznos naplaæen
  GOTOVINOM
","Iznos naplaæen 
VIRMANSKI
preko raèuna","Broj
-izvoda-uplatnice","Nadnevak
datum uplate",,,,,,,
78-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
79-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
80-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
81-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
82-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
83-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
84-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
85-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
86-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
87-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
88-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
89-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
90-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
91-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
92-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
93-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
94-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
95-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
96-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
97-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
98-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
99-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
100-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
101-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
102-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
103-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
104-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
105-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
106-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
107-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
108-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
109-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
110-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
111-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
112-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
113-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
114-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
115-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
116-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
117-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
118-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
119-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
120-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
121-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
122-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
123-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
124-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
125-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
126-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
127-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
128-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
129-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
130-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
131-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
132-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
133-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
134-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
135-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
136-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
137-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
138-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
139-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
140-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
141-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
142-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
143-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
144-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
145-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
146-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
147-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
148-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
149-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
150-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
151-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
152-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
153-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
154-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
155-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
156-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
157-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
158-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
159-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
160-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
161-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
162-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
163-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
164-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
165-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
166-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
167-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
168-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
169-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
170-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
171-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
